questionText,optionA,optionB,optionC,optionD,correctAnswer,category,difficulty,marks
"Who composed the Jain prayer 'Namokar Mantra'?","Mahavira","It has no single author","Rishabhanatha","Parshvanatha",B,scriptures,medium,10
"How many lines does the Namokar Mantra have?","3","5","7","9",B,scriptures,easy,10
"What is the significance of 'Bahubali' statue at Shravanabelagola?","It is the tallest Jain statue","It represents war","It is a temple","It is a pilgrimage marker",A,geography,easy,10
"How tall is the Gommateshwara (Bahubali) statue?","37 feet","47 feet","57 feet","67 feet",C,geography,medium,10
"What is 'Mahamastakabhisheka'?","A daily prayer","Grand head-anointing ceremony of Bahubali statue","A scripture reading","A meditation retreat",B,festivals,medium,10
"How often is Mahamastakabhisheka performed?","Every year","Every 6 years","Every 12 years","Every 20 years",C,festivals,medium,10
"What is 'Diwali' significance in Jainism?","Birth of Mahavira","Mahavira's enlightenment","Mahavira attained Moksha (Nirvana)","Marriage of Mahavira",C,festivals,medium,10
"What is 'Mahavir Jayanti'?","Death anniversary of Mahavira","Birthday of Mahavira","Enlightenment day","First sermon day",B,festivals,easy,10
"In which month is Paryushana typically celebrated?","January","April","August-September","December",C,festivals,medium,10
"What is 'Kshamavani' or 'Micchami Dukkadam'?","A prayer for wealth","Asking forgiveness for any wrongdoing","A fasting ritual","A temple ceremony",B,festivals,easy,10
"What is the Jain practice of 'Pratikramana'?","Forward prayer","Introspection and repentance for sins","Fasting","Pilgrimage",B,practices,medium,10
"What is 'Santhara' in Jainism?","A feast","Voluntary fasting unto death","A pilgrimage","A prayer",B,practices,hard,10
"Where is Palitana, a major Jain pilgrimage site, located?","Rajasthan","Gujarat","Maharashtra","Karnataka",B,geography,easy,10
"How many Jain temples are on Shatrunjaya Hill in Palitana?","100","500","863","1200",C,geography,hard,10
"What is 'Ranakpur' famous for?","A Jain university","An intricately carved Jain temple","A Jain monastery","A sacred lake",B,geography,easy,10
"In which Indian state is Ranakpur Temple located?","Gujarat","Rajasthan","Madhya Pradesh","Maharashtra",B,geography,medium,10
"Who was Parshvanatha?","The first Tirthankara","The 23rd Tirthankara","The last Tirthankara","A Jain king",B,history,medium,10
"What animal is associated with Mahavira's birth?","Elephant","Lion","Bull","Horse",B,history,medium,10
"What is the emblem (Lanchhan) of Rishabhanatha?","Lion","Bull","Elephant","Horse",B,history,medium,10
"What is the emblem of Mahavira?","Bull","Elephant","Lion","Deer",C,history,medium,10
"What was the original name of Mahavira?","Siddhartha","Vardhamana","Gautama","Ashoka",B,history,easy,10
"In which century did Mahavira live?","3rd century BCE","6th century BCE","1st century CE","9th century BCE",B,history,medium,10
"Where was Mahavira born?","Patna","Vaishali (Kundalagrama)","Rajgir","Varanasi",B,history,medium,10
"At what age did Mahavira renounce worldly life?","25","28","30","35",C,history,medium,10
"For how many years did Mahavira practice austerities before enlightenment?","6","10","12","15",C,history,hard,10
"Where did Mahavira attain Kevala Jnana (omniscience)?","Bodh Gaya","Jrimbhikagrama (near river Rijupalika)","Varanasi","Rajgir",B,history,hard,10
"Where did Mahavira attain Moksha?","Vaishali","Rajgir","Pavapuri","Patna",C,history,medium,10
"What is 'Kevala Jnana'?","Partial knowledge","Omniscience or infinite knowledge","Book knowledge","Spiritual wisdom",B,philosophy,medium,10
"What are 'Gunasthanas' in Jainism?","Types of prayers","14 stages of spiritual development","Types of karma","Jain festivals",B,philosophy,hard,10
"How many Gunasthanas are there?","7","10","14","21",C,philosophy,hard,10
"What is 'Syadvada' in Jain philosophy?","Theory of violence","Theory of conditional predication (maybe-ism)","Theory of God","Theory of creation",B,philosophy,hard,10
"How many 'Nayas' (viewpoints) are there in Syadvada?","3","5","7","9",C,philosophy,hard,10
"What is 'Pudgala' in Jain metaphysics?","Soul","Matter","Space","Time",B,philosophy,hard,10
"What is 'Dharma Dravya' in Jainism?","Religious duty","Medium of motion","Soul","Matter",B,philosophy,hard,10
"What is 'Adharma Dravya'?","Sin","Medium of rest","Bad karma","Non-living",B,philosophy,hard,10
"How many types of knowledge are there in Jainism?","3","4","5","7",C,philosophy,hard,10
"What is 'Mati Jnana'?","Omniscience","Sensory knowledge","Scriptural knowledge","Clairvoyance",B,philosophy,hard,10
"What is 'Shruta Jnana'?","Sensory knowledge","Scriptural or articulate knowledge","Clairvoyance","Telepathy",B,philosophy,hard,10
"What is 'Avadhi Jnana'?","Book knowledge","Sensory knowledge","Clairvoyance (knowledge of material things at a distance)","Telepathy",C,philosophy,hard,10
"What is 'Manahparyaya Jnana'?","Clairvoyance","Omniscience","Telepathy (reading others' thoughts)","Sensory knowledge",C,philosophy,hard,10
"What is a 'Jain Basadi'?","A Jain monastery","A Jain temple (especially in South India)","A Jain school","A Jain text",B,geography,medium,10
"What is 'Chaityalaya'?","A Jain prayer hall or temple","A school","A monastery","A kitchen",A,practices,medium,10
"What is 'Sthanakvasi' sect known for?","Idol worship","Rejecting idol worship","Sky-clad monks","Elaborate temples",B,history,hard,10
"What is 'Terapanthi' in Jainism?","A sub-sect of Shvetambara","A festival","A scripture","A type of meditation",A,history,hard,10
"Who founded the Terapanthi sect?","Mahavira","Acharya Bhikshu","Haribhadra","Kundakunda",B,history,hard,10
"What is the Jain concept of 'Lesya'?","Types of prayer","Colors of the soul based on karma","Temple architecture","Festival types",B,philosophy,hard,10
"How many types of Lesya are there?","3","4","6","8",C,philosophy,hard,10
"What is 'Kayotsarga'?","A dance form","Standing meditation with body abandonment","A ritual bath","A feast",B,practices,medium,10
"What is the Jain dietary practice?","Non-vegetarian","Strict vegetarian (often vegan, no root vegetables)","Only fruits","Only grains",B,practices,easy,10
"Why do strict Jains avoid root vegetables?","They are unhealthy","Uprooting them kills many organisms","They taste bad","Religious law says so",B,practices,medium,10
"What is 'Navkarsi'?","Eating 48 minutes after sunrise","A prayer","A festival","A pilgrimage",A,practices,medium,10
"What is 'Chauvihar' fast?","Eating only once","Not eating or drinking after sunset","Week-long fast","Eating only fruits",B,practices,medium,10
"What is a 'Muhpatti'?","A head covering","A cloth worn over the mouth to protect air beings","A sacred thread","A prayer bead",B,practices,medium,10
"What is 'Loka' in Jain cosmology?","Heaven","The entire universe","Earth","Hell",B,philosophy,medium,10
"How many levels of hell ('Naraka') exist in Jain cosmology?","3","5","7","9",C,philosophy,hard,10
"What is 'Siddha Loka'?","A temple","The abode of liberated souls at the top of the universe","A city","A kingdom",B,philosophy,medium,10
"Who was Acharya Hemachandra?","A Tirthankara","A famous Jain scholar, poet and polymath","A king","A merchant",B,history,medium,10
"Who was Kundakunda?","A Tirthankara","A celebrated Digambara Jain philosopher","A king","A trader",B,history,hard,10
"What text did Kundakunda write?","Agamas","Samayasara","Tattvartha Sutra","Kalpa Sutra",B,scriptures,hard,10
"What is 'Kalpa Sutra'?","A math text","A text containing biographies of Tirthankaras","A cooking guide","A temple design manual",B,scriptures,medium,10
"Who is credited with writing the Kalpa Sutra?","Mahavira","Bhadrabahu","Hemachandra","Umasvati",B,scriptures,hard,10
"What is 'Anuvrata' in Jainism?","Major vows for monks","Minor vows for laypeople","Festival vows","Marriage vows",B,practices,medium,10
"What is 'Jain Agam' literature?","Folk tales","Canonical scriptures based on Mahavira's teachings","Poetry","Historical records",B,scriptures,medium,10
"What is the 'Pancha-Parameshti'?","Five elements","Five supreme beings revered in Namokar Mantra","Five festivals","Five temples",B,philosophy,medium,10
"Who are the five Pancha-Parameshti?","Five gods","Arihant, Siddha, Acharya, Upadhyaya, Sadhu","Five Tirthankaras","Five kings",B,philosophy,hard,10
"What is 'Ratnatraya' (Three Jewels) of Jainism?","Gold, silver, diamond","Right faith, right knowledge, right conduct","Prayer, fasting, charity","Temple, scripture, guru",B,philosophy,easy,10
"What is 'Pathshala' in Jain context?","A temple","A school for religious education","A kitchen","A monastery",B,practices,easy,10
